IDENTIFICADOR,MUNICIPIO,LOCALIDAD,DENOMINACIÓN,Término de búsqueda,FECHA DECLARACIÓN BIC,PROTECCIÓN DEL BIEN: CATEGORÍA DE PROTECCIÓN,CLASIFICACIÓN TIPOLÓGICA: Tipología
118,Palacios de Goda,Palacios de Goda,Iglesia de San Juan Bautista,Iglesia de San Juan Bautista de Palacios de Goda,1998-04-16,Monumento,Patrimonio arquitectónico
119,Pedro Bernardo,Pedro Bernardo,Rollo de justicia,Rollo de justicia de Pedro Bernardo,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
120,Piedrahita,Piedrahita,La Villa,La Villa de Piedrahita; Conjunto histórico artístico de la Villa de Piedrahita,2008-01-10,Conjunto histórico,Conjunto de bienes
121,Piedrahita,Piedrahita,Muralla,Muralla de Piedrahita,1949-04-22,Castillos,Patrimonio arquitectónico
122,Piedrahita,Piedrahita,Crucero,Crucero de Piedrahita,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
123,Piedrahita,Piedrahita,Casa de Gabriel y Galán,Casa de Gabriel y Galán (Piedrahita),1993-03-11,Monumento,Patrimonio arquitectónico
124,Piedrahita,Piedrahita,Palacio de los Duques de Alba,Palacio de los Duques de Alba (Piedrahita),1993-07-07,Monumento,Patrimonio arquitectónico
125,Puerto Castilla,Santiago de Aravalle,Iglesia y Torre de Santiago Apóstol,Iglesia y Torre de Santiago Apóstol de Santiago de Aravalle,1981-12-18,Monumento,Patrimonio arquitectónico
126,Rivilla de Barajas,Rivilla de Barajas,Castillo de Castronuevo,Castillo de Castronuevo; Castillo de Castronuevo de Rivilla de Barajas,1949-04-22,Castillos,Patrimonio arquitectónico
127,San Esteban del Valle,San Esteban del Valle,Rollo de justicia,Rollo de justicia de San Esteban del Valle,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
128,San Esteban del Valle,San Esteban del Valle,Iglesia de San Esteban,Iglesia de San Esteban de San Esteban del Valle,1981-05-27,Monumento,Patrimonio arquitectónico
129,San Juan de la Encinilla,San Juan de la Encinilla,Iglesia de San Juan Bautista ,Iglesia de San Juan Bautista de San Juan de la Encinilla,1982-06-18,Monumento,Patrimonio arquitectónico
130,San Juan de la Nava,San Juan de la Nava,Rollo de justicia,Rollo de justicia de San Juan de la Nava,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
131,San Juan del Olmo,San Juan del Olmo,Ermita de la Virgen de las Fuentes,Ermita de la Virgen de las Fuentes (San juan del Olmo),1981-06-23,Monumento,Patrimonio arquitectónico
132,San Pedro del Arroyo,San Pedro del Arroyo,"Villa romana de ""El Vergel""","Villa romana de ""El Vergel""",2016-02-11,Zona Arqueológica,Patrimonio arqueológico
133,Sanchorreja,Sanchorreja,Los Castillejos,Castro de Los Castillejos de Sanchorreja,1985-06-25,Arte ruprestre,Patrimonio arqueológico
134,Santa Cruz del Valle,Santa Cruz del Valle,Rollo de justicia,Rollo de justicia de Santa Cruz del Valle,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
135,Santa María del Cubillo,Aldeavieja,Ermita de Nuestra Señora del Cubillo,Ermita de Nuestra Señora del Cubillo (Aldeavieja),1982-01-15,Monumento,Patrimonio arquitectónico
136,Solosancho,Villaviciosa,"Chorreras, Las",Las Chorreras de Villaviciosa (Ávila),1985-06-25,Arte ruprestre,Patrimonio arqueológico
137,Solosancho,Villaviciosa,Castillo de Villaviciosa,Castillo de Villaviciosa (Ávila),1949-04-22,Castillos,Patrimonio arquitectónico
138,Solosancho,Villaviciosa,Despoblado de Ulaca,Castro de Ulaca; depoblado de Ulaca; Ulaca,1995-02-02,Zona Arqueológica,Patrimonio arqueológico
139,Tiemblo (El),Tiemblo (El),Terrenos que ocupan Toros de Guisando y Monasterio,Toros de Guisando; Monasterio de San Jerónimo de Guisando,1954-02-05,Paisaje Cultural,
140,Villarejo del Valle,Villarejo del Valle,Rollo de justicia,Rollo de justicia de Villarejo del Valle,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
141,Villatoro,Villatoro,Castillo de Villatoro,Castillo de Villatoro,1949-04-22,Castillos,Patrimonio arquitectónico
142,Zapardiel de la Cañada,Zapardiel de la Cañada,Castillo de Serranos de la Torre,Castillo de Serranos de la Torre (Zapardiel de la Cañada),1949-04-22,Castillos,Patrimonio arquitectónico
143,Castilla y León ,,Cetrería,Cetrería en Ávila,2011-11-24,Inmateriales,
144,Castilla y León ,,Doma vaquera en Castilla y León*,Doma vaquera en Ávila,2025-12-17,Inmateriales (Incoado),
145,Castilla y León ,,La Tuna en Castilla y León,Tunas abulenses; tunas de Ávila,2025-11-27,Inmateriales,
146,Castilla y León ,,Tauromaquía en Castilla y León,Tauromaquía en Ávila,2014-04-03,Inmateriales,
147,Castilla y León ,,Las Mascaradas en Castilla y León,Mascaradas abulenses; mascaradas en Ávila,2023-03-09,Inmateriales,
